,linkSeq,linkID,offsetGroup,offsetSeq,offsetStart,offsetEnd,existStation,existSignal,signalOffset,signalGreenPhaseLength,siganlRedPhaseLength,isIntersection,existPedWalk,existOverpass,MaxSpeed,SignalGroup,SignalNumber,SignalName
16,4,A2207G001386,1,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
17,4,A2207G001386,1,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
18,4,A2207G001386,1,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
19,4,A2207G001386,1,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
20,4,A2207G001386,2,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
21,4,A2207G001386,2,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
22,4,A2207G001386,2,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
23,4,A2207G001386,2,8,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
24,4,A2207G001386,2,9,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
25,4,A2207G001386,2,10,22500,25000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
26,4,A2207G001386,2,11,25000,27500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
27,4,A2207G001386,2,12,27500,30000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
28,4,A2207G001386,2,13,30000,32500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
29,4,A2207G001386,2,14,32500,35000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
30,4,A2207G001386,3,15,35000,37500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
31,4,A2207G001386,3,16,37500,40000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
32,4,A2207G001386,3,17,40000,42500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
33,4,A2207G001386,3,18,42500,45000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
34,4,A2207G001386,3,19,45000,47500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
35,4,A2207G001386,3,20,47500,50000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
36,4,A2207G001386,3,21,50000,52500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
37,4,A2207G001386,3,22,52500,55000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
38,4,A2207G001386,3,23,55000,57500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
39,4,A2207G001386,3,24,57500,60000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
40,4,A2207G001386,4,25,60000,62500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
41,4,A2207G001386,4,26,62500,65000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
42,4,A2207G001386,4,27,65000,67500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
43,4,A2207G001386,4,28,67500,70000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
44,4,A2207G001386,4,29,70000,72500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
45,4,A2207G001386,4,30,72500,75000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
46,4,A2207G001386,4,31,75000,77500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
47,4,A2207G001386,4,32,77500,80000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
48,4,A2207G001386,4,33,80000,82500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
49,4,A2207G001386,4,34,82500,85000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,45,,,
50,4,A2207G001386,4,35,85000,87979,FALSE,TRUE,20.000,72,88,FALSE,FALSE,FALSE,45,7,152,First Village Intersection
51,5,A2207G002906,5,1,0,158,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
52,6,A2207G003373,5,1,0,2500,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,40,,,
53,6,A2207G003373,5,2,2500,6174,FALSE,FALSE,0,0,0,TRUE,TRUE,FALSE,40,,,
54,7,A2207G002945,5,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
55,7,A2207G002945,5,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
56,7,A2207G002945,5,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
57,7,A2207G002945,5,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
58,7,A2207G002945,5,5,10000,12402,TRUE,TRUE,0.000,115,45,FALSE,FALSE,FALSE,40,7,151,First Village BRT Transit Center A
59,8,A2207G002990,5,1,0,2500,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
60,8,A2207G002990,5,2,2500,4330,FALSE,TRUE,0.000,115,45,FALSE,FALSE,FALSE,40,7,151,First Village BRT Transit Center A
61,9,A2207G002890,6,1,0,2500,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
62,9,A2207G002890,6,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
63,9,A2207G002890,6,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
64,9,A2207G002890,6,4,7500,10676,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
65,10,A2214B001657,7,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
66,10,A2214B001657,7,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
67,10,A2214B001657,7,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
68,10,A2214B001657,7,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
69,10,A2214B001657,7,5,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
70,10,A2214B001657,7,6,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
71,10,A2214B001657,7,7,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
72,10,A2214B001657,7,8,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
73,10,A2214B001657,8,9,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
74,10,A2214B001657,8,10,22500,25000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
75,10,A2214B001657,8,11,25000,27500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
76,10,A2214B001657,8,12,27500,30000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
77,10,A2214B001657,8,13,30000,32500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
78,10,A2214B001657,8,14,32500,35000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
79,10,A2214B001657,8,15,35000,37500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
80,10,A2214B001657,8,16,37500,40000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
81,10,A2214B001657,9,17,40000,42500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
82,10,A2214B001657,9,18,42500,45000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
83,10,A2214B001657,9,19,45000,47500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
84,10,A2214B001657,9,20,47500,50000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
85,10,A2214B001657,9,21,50000,52500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
86,10,A2214B001657,9,22,52500,55000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
87,10,A2214B001657,9,23,55000,57500,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
88,10,A2214B001657,9,24,57500,60000,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
89,10,A2214B001657,9,25,60000,63573,FALSE,FALSE,0,0,0,FALSE,FALSE,TRUE,35,,,
90,11,A2207G002820,10,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
91,11,A2207G002820,10,2,2500,5665,TRUE,TRUE,10.000,115,45,FALSE,FALSE,FALSE,40,7,148,Sejong City Welfare Center for the Disabled
92,12,A2207G003004,10,1,0,1378,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
93,13,A2207G002942,10,1,0,1986,FALSE,TRUE,10.000,115,45,FALSE,FALSE,FALSE,40,7,148,Sejong City Welfare Center for the Disabled
94,14,A2207G003010,11,1,0,1371,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,40,,,
95,15,A2207G002818,11,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
96,15,A2207G002818,11,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
97,15,A2207G002818,11,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
98,15,A2207G002818,11,4,7500,9509,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,40,,,
