,linkSeq,linkID,offsetGroup,offsetSeq,offsetStart,offsetEnd,existStation,existSignal,signalOffset,signalGreenPhaseLength,siganlRedPhaseLength,isIntersection,existPedWalk,existOverpass,MaxSpeed,SignalGroup,SignalNumber,SignalName,,,,
1,1,2420019900,1,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
2,1,2420019900,1,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
3,1,2420019900,1,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
4,1,2420019900,1,4,7500,9600,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
5,2,2420026300,2,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
6,2,2420026300,2,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
7,2,2420026300,2,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
8,2,2420026300,2,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
9,2,2420026300,3,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
10,2,2420026300,3,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
11,2,2420026300,3,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
12,2,2420026300,3,4,17500,21200,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
13,3,2420032100,4,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
14,3,2420032100,4,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
15,3,2420032100,4,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
16,3,2420032100,4,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
17,3,2420032100,4,5,10000,13000,FALSE,TRUE,62,50,155,FALSE,FALSE,FALSE,5,,,,,,,
18,4,2420034200,5,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
19,4,2420034200,5,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
20,4,2420034200,5,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
21,4,2420034200,5,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
22,4,2420034200,6,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
23,4,2420034200,6,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
24,4,2420034200,6,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
25,4,2420034200,6,4,17500,20600,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
26,5,2420034900,7,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
27,5,2420034900,7,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
28,5,2420034900,7,3,5000,8900,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,,,,,
