,linkSeq,linkID,offsetGroup,offsetSeq,offsetStart,offsetEnd,existStation,existSignal,signalOffset,signalGreenPhaseLength,siganlRedPhaseLength,isIntersection,existPedWalk,existOverpass,MaxSpeed,SignalGroup,SignalNumber,SignalName
1,1,2420044500,1,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
2,1,2420044500,1,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
3,1,2420044500,1,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
4,1,2420044500,1,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
5,1,2420044500,2,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
6,1,2420044500,2,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
7,1,2420044500,2,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
8,1,2420044500,2,4,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
9,1,2420044500,3,1,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
10,1,2420044500,3,2,22500,25000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
11,1,2420044500,3,3,25000,27500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
12,1,2420044500,3,4,27500,31200,FALSE,TRUE,118,20,130,FALSE,FALSE,FALSE,5,,,
13,2,2420038000,1,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
14,2,2420038000,1,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
15,2,2420038000,1,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
16,2,2420038000,1,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
17,2,2420038000,2,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
18,2,2420038000,2,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
19,2,2420038000,2,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
20,2,2420038000,2,4,17500,20000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
21,2,2420038000,3,1,20000,22500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
22,2,2420038000,3,2,22500,25000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,30,,,
23,2,2420038000,3,3,25000,27500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,6,,,
24,2,2420038000,3,4,27500,30000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,6,,,
25,2,2420038000,4,1,30000,32500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,6,,,
26,2,2420038000,4,2,32500,35000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,6,,,
27,2,2420038000,4,3,35000,37500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,6,,,
28,2,2420038000,4,4,37500,40000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,6,,,
29,2,2420038000,4,5,40000,42500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,6,,,
30,2,2420038000,4,6,42500,45000,FALSE,TRUE,14,48,157,FALSE,FALSE,FALSE,6,,,
31,3,2420034200,5,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
32,3,2420034200,5,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
33,3,2420034200,5,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
34,3,2420034200,5,4,7500,10000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
35,3,2420034200,6,1,10000,12500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
36,3,2420034200,6,2,12500,15000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
37,3,2420034200,6,3,15000,17500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
38,3,2420034200,6,4,17500,20600,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
39,4,2420034900,7,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
40,4,2420034900,7,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,5,,,
41,4,2420034900,7,3,5000,8900,FALSE,TRUE,78,74,131,FALSE,FALSE,FALSE,5,,,
42,5,2420035300,8,1,0,2500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,8,,,
43,5,2420035300,8,2,2500,5000,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,8,,,
44,5,2420035300,8,3,5000,7500,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,8,,,
